inventor,company,collaborations
Kangguo Cheng,International Business Machines Corporation,2567040
Shunpei Yamazaki,"Semiconductor Energy Laboratory Co., Ltd.",1012500
Tao Luo,QUALCOMM Incorporated,844272
Chih-Chao Yang,International Business Machines Corporation,641760
Bartley K. Andre,Apple Inc.,606200
Junyi Li,QUALCOMM Incorporated,560142
Xiaoxia Zhang,QUALCOMM Incorporated,497904
Sarbajit K. Rakshit,International Business Machines Corporation,462220
Richard P. Howarth,Apple Inc.,450320
Alexander Reznicek,International Business Machines Corporation,446940
Hanbyul Seo,LG ELECTRONICS INC.,446082
Duncan Robert Kerr,Apple Inc.,419144
Eugene Antony Whang,Apple Inc.,418278
Wanshi Chen,QUALCOMM Incorporated,416724
Peter Gaal,QUALCOMM Incorporated,308484
Jonathan P. Ive,Apple Inc.,304832
Jody Akana,Apple Inc.,279718
"Rick A. Hamilton, II",International Business Machines Corporation,275040
Jing Sun,QUALCOMM Incorporated,257972
Daniel J. Coster,Apple Inc.,230356
