year,total_patents
1976,725
1977,728
1978,732
1979,587
1980,729
1981,721
1982,620
1983,659
1984,750
1985,730
1986,767
1987,970
1988,905
1989,1046
1990,1062
1991,1135
1992,1146
1993,1148
1994,1221
1995,1227
1996,1321
1997,1337
1998,1748
1999,1853
2000,1831
2001,1898
2002,1893
2003,1978
2004,1939
2005,1692
2006,2040
2007,1959
2008,2015
2009,2097
2010,2556
2011,2642
2012,2886
2013,3265
2014,3489
2015,3401
2016,3630
2017,3626
2018,3664
2019,4155
2020,4131
2021,3868
2022,3790
2023,3716
2024,3933
2025,4039
